Team,MP,Win,Draw,Loss,GF,GA,GD,Points,Win_mean,Win_std_dev,Win_rms,Win_skewness,Win_kurtosis,Win_max_value,Win_min_value,Win_median,Win_iqr,Win_zero_crossing_rate,Win_dominant_frequency,Win_max_frequency_magnitude,Win_power_spectral_density,Win_total_power,Win_spectral_entropy,Win_centroid_frequency,Draw_mean,Draw_std_dev,Draw_rms,Draw_skewness,Draw_kurtosis,Draw_max_value,Draw_min_value,Draw_median,Draw_iqr,Draw_zero_crossing_rate,Draw_dominant_frequency,Draw_max_frequency_magnitude,Draw_power_spectral_density,Draw_total_power,Draw_spectral_entropy,Draw_centroid_frequency,Loss_mean,Loss_std_dev,Loss_rms,Loss_skewness,Loss_kurtosis,Loss_max_value,Loss_min_value,Loss_median,Loss_iqr,Loss_zero_crossing_rate,Loss_dominant_frequency,Loss_max_frequency_magnitude,Loss_power_spectral_density,Loss_total_power,Loss_spectral_entropy,Loss_centroid_frequency,GF_mean,GF_std_dev,GF_rms,GF_skewness,GF_kurtosis,GF_max_value,GF_min_value,GF_median,GF_iqr,GF_zero_crossing_rate,GF_dominant_frequency,GF_max_frequency_magnitude,GF_power_spectral_density,GF_total_power,GF_spectral_entropy,GF_centroid_frequency,GA_mean,GA_std_dev,GA_rms,GA_skewness,GA_kurtosis,GA_max_value,GA_min_value,GA_median,GA_iqr,GA_zero_crossing_rate,GA_dominant_frequency,GA_max_frequency_magnitude,GA_power_spectral_density,GA_total_power,GA_spectral_entropy,GA_centroid_frequency,GD_mean,GD_std_dev,GD_rms,GD_skewness,GD_kurtosis,GD_max_value,GD_min_value,GD_median,GD_iqr,GD_zero_crossing_rate,GD_dominant_frequency,GD_max_frequency_magnitude,GD_power_spectral_density,GD_total_power,GD_spectral_entropy,GD_centroid_frequency,Points_mean,Points_std_dev,Points_rms,Points_skewness,Points_kurtosis,Points_max_value,Points_min_value,Points_median,Points_iqr,Points_zero_crossing_rate,Points_dominant_frequency,Points_max_frequency_magnitude,Points_power_spectral_density,Points_total_power,Points_spectral_entropy,Points_centroid_frequency
Manchester City FC,12,9,1,2,32,12,20,28,24.1875,5.246650717362458,24.75,-0.3188699303038213,-0.930339821968933,32.0,15.0,25.0,7.5,0.0,0.0,387.0,9801.0,9801.0,1.7529670828029136,3.3850547062130767,6.5625,2.80554696093293,7.137051211810099,0.5027482664195765,-0.3421460633339284,13.0,2.0,5.5,4.0,0.0,0.0,105.0,815.0,815.0,2.2979101650024423,4.905256203445461,7.25,3.832427429188973,8.200609733428363,1.3074320102475374,1.5725124490719784,18.0,2.0,6.0,4.0,0.0,0.0,116.0,1076.0,1076.0,2.315356456636538,5.1867451260493205,81.875,17.663079431401535,83.7585816498823,-0.4471158787506899,-0.8771572057183783,106.0,45.0,83.0,26.25,0.0,0.0,1310.0,112248.0,112248.0,1.7751848874826006,3.4160830466740784,35.9375,8.073635720665132,36.83323906473608,0.5161996605259809,-0.37812791149038016,53.0,23.0,34.5,8.25,0.0,0.0,575.0,21707.0,21707.0,1.736914807020862,3.39201294770471,45.9375,24.22929206043792,51.935657307865085,-0.5781763641061053,-0.5426525339148163,79.0,-8.0,48.0,36.0,0.0625,0.0,735.0,43157.0,43157.0,2.33083426188805,5.19097557749281,79.125,13.909866102878201,80.33834700813803,-0.5168179010109333,-0.5102222179557048,100.0,50.0,80.0,19.0,0.0,0.0,1266.0,103268.0,103268.0,1.59603878881419,2.968435770658636
Liverpool FC,12,8,3,1,27,10,17,27,21.4375,5.171662571166066,22.052494190000367,0.5919134099544182,-0.7470520777223228,32.0,14.0,20.5,7.5,0.0,0.0,343.0,7781.0,7781.0,1.7792546853540463,3.5048783074620617,9.25,2.6339134382131846,9.617692030835672,-0.5181889598432562,-0.12515217920623334,13.0,3.0,9.5,3.5,0.0,0.0,148.0,1480.0,1480.0,1.9478767346680774,3.95931278858009,7.3125,4.149077457700687,8.407585860400118,0.08775643275110775,-1.222947340877183,14.0,1.0,7.5,6.5,0.0,0.0,117.0,1131.0,1131.0,2.3095433533869514,5.237539647203837,73.1875,14.604018068668637,74.6303390049918,0.08001152847191434,-0.760658888885537,101.0,47.0,73.0,21.75,0.0,0.0,1171.0,89115.0,89115.0,1.7671668608323863,3.329042286553468,38.4375,8.724740325648666,39.41525719819674,-0.3994737006886525,-1.07864499861484,50.0,22.0,41.0,13.0,0.0,0.0,615.0,24857.0,24857.0,1.840275794567013,3.5569871203658354,34.75,19.217505040977613,39.70988541912455,0.12665090305549553,-0.9784330123818168,68.0,4.0,32.0,27.0,0.0,0.0,556.0,25230.0,25230.0,2.3031129264079344,5.214403456828108,73.5625,14.079989124640687,74.89784709856485,0.38784549681069336,-1.0311631722805603,99.0,52.0,72.0,22.75,0.0,0.0,1177.0,89755.0,89755.0,1.5858326289173164,3.0100520661107173
Arsenal FC,12,8,3,1,26,10,16,27,21.0625,2.7492896809903464,21.241174637952582,-0.6426607124498509,0.7058534142579571,26.0,14.0,21.0,3.25,0.0,0.0,337.0,7219.0,7219.0,1.3883459192789815,2.4485789467636643,8.3125,2.822205476218909,8.77852493303972,0.24756811234361562,-0.7154354722441569,14.0,3.0,7.0,5.0,0.0,0.0,133.0,1233.0,1233.0,1.9737760495795444,4.15167207173626,8.625,2.7357585785299112,9.048480535426929,0.08413279461869089,-0.5074158498263168,13.0,3.0,8.5,3.0,0.0,0.0,138.0,1310.0,1310.0,1.9961722771075143,4.138024304069861,70.6875,8.424063375236443,71.18769205417465,-0.07611492482351757,-0.12250438612891434,88.0,55.0,72.0,6.75,0.0,0.0,1131.0,81083.0,81083.0,1.449792343379103,2.4796554111796176,42.1875,5.822571918834494,42.587410111440214,-0.03299999296400611,-1.0063662892662746,51.0,31.0,42.0,11.0,0.0,0.0,675.0,29019.0,29019.0,1.466939212923001,2.5951841203658903,28.5,10.246950765959598,30.286135441815617,-0.23944405361272936,-0.6351530612244898,45.0,8.0,29.0,12.25,0.0,0.0,456.0,14676.0,14676.0,2.1344342572822455,4.4549962151124065,71.5,7.202430145443967,71.86184662252981,-0.2564395508890254,-0.19394977500362875,84.0,56.0,71.5,6.25,0.0,0.0,1144.0,82626.0,82626.0,1.2129040259843282,2.0300163819901993
Tottenham Hotspur FC,12,8,2,2,24,15,9,26,19.25,3.6314597615834874,19.589538024159733,-0.42871796471064916,-0.06122953213090465,26.0,11.0,19.5,3.75,0.0,0.0,308.0,6140.0,6140.0,1.6726141215907826,3.135978251638196,8.4375,3.061224224064614,8.97566153550812,0.08032201614288524,-0.2928895098537825,14.0,2.0,8.0,2.75,0.0,0.0,135.0,1289.0,1289.0,2.1892310094058836,4.552219474693877,10.3125,3.0149367737980843,10.74418447347215,-0.36907986948956745,-0.7035434813642061,15.0,4.0,11.0,4.25,0.0,0.0,165.0,1847.0,1847.0,1.9264511010712337,3.9143482212865104,65.125,8.88731539892672,65.72860868754184,-0.05270406248543018,0.8583748499443802,86.0,45.0,66.5,8.75,0.0,0.0,1042.0,69124.0,69124.0,1.432093129970395,2.527526141197069,44.6875,9.081015568206015,45.60084977278384,0.2375647416655469,0.014706689820704444,63.0,26.0,45.0,8.25,0.0,0.0,715.0,33271.0,33271.0,1.7528525681671079,3.327011251072836,20.4375,15.33773430953868,25.552641742097823,0.8081287250907007,0.3896467925240863,60.0,0.0,21.5,21.75,0.125,0.0,327.0,10447.0,10447.0,2.4067557746772614,5.735874541023791,66.1875,9.362283041544941,66.84637237726517,-0.21934294535238466,0.20983468526655358,86.0,46.0,69.0,9.5,0.0,0.0,1059.0,71495.0,71495.0,1.41310772221205,2.5295867125444196
Aston Villa FC,12,8,1,3,29,17,12,25,12.153846153846153,4.347344969521474,12.907958189248392,-0.39644240484718735,-0.7172776993807659,18.0,3.0,12.0,6.0,0.0,0.0,158.0,2166.0000000000005,2166.0,1.8528157327207344,3.291204991350669,9.846153846153847,3.008862648555069,10.295630140987,0.8256152527004044,-0.033128283993336005,17.0,6.0,8.0,4.0,0.0,0.0,128.0,1377.9999999999998,1378.0,1.7507630920389297,3.018510139721007,16.0,5.1291024855906615,16.802014531230842,0.3557272268656292,-0.48122499230532423,27.0,8.0,15.0,7.0,0.0,0.0,208.0,3670.0000000000005,3670.0,1.5340465701303951,2.7980423756666037,46.53846153846154,11.125959834932027,47.84992564900582,0.18986811922149202,-0.06364863506246099,71.0,27.0,48.0,13.0,0.0,0.0,605.0,29765.0,29765.0,1.6170845379256635,2.6544192034230347,55.84615384615385,10.060173984167271,56.74504383644443,0.3553382221075697,-0.6347129616341478,76.0,39.0,54.0,13.0,0.0,0.0,726.0,41859.99999999999,41860.0,1.4297335682641814,2.243431964688867,-9.307692307692308,18.987382917589553,21.146012535554927,-0.3024331883591824,-0.6985254744993132,20.0,-49.0,-11.0,28.0,0.3076923076923077,1.0,151.87282621886655,5813.000000000002,5813.0,2.309412049901143,5.501136930191127,46.30769230769231,13.198977905560692,48.15200291384964,-0.424483595946904,-0.4267122918731858,64.0,17.0,45.0,22.0,0.0,0.0,602.0,30141.999999999996,30142.0,1.6451239522731231,2.8254717503332754
Manchester United FC,12,7,0,5,13,16,-3,21,22.4375,4.076897564325108,22.804878863962422,0.1315414080442394,-1.4766608717745489,28.0,16.0,22.0,8.0,0.0,0.0,359.0,8321.0,8321.0,1.597265593690781,2.9915672177728463,8.25,2.9895651857753496,8.774964387392123,0.5157800369414364,-0.6043327302068562,15.0,4.0,8.0,4.25,0.0,0.0,132.0,1232.0,1232.0,2.0987172486628136,4.4340137005081575,7.3125,2.591301555203485,7.75806032459145,0.45182372386322595,-1.0085838696348277,12.0,4.0,7.0,4.25,0.0,0.0,117.0,963.0,963.0,2.1465725463888656,4.469535235469581,68.9375,11.691175892526807,69.92183135473498,0.20983580103401125,-0.9955839014004786,89.0,49.0,67.0,17.5,0.0,0.0,1103.0,78225.0,78225.0,1.5776840440032553,2.896383400702232,37.0625,9.640207142484025,38.29572430441811,0.41928517334602056,-0.5037377983017279,57.0,22.0,36.5,14.25,0.0,0.0,593.0,23465.0,23465.0,1.8807803624648438,3.7392856917317823,31.875,17.043602172076184,36.145539143855636,0.0024356366410684723,-0.9686547148152624,58.0,0.0,29.5,23.75,0.125,0.0,510.0,20904.0,20904.0,2.3565017020625803,5.239187697187576,75.5625,10.099311548318529,76.23442463874179,0.024406707460736584,-1.342600693218347,90.0,58.0,74.5,19.5,0.0,0.0,1209.0,92987.0,92987.0,1.4109865660868357,2.491078587933873
Newcastle United FC,12,6,2,4,27,13,14,20,12.285714285714286,3.2607749172895217,12.711075036023844,0.8695728130158543,0.19357429422968497,19.0,7.0,11.5,1.75,0.0,0.0,172.0,2261.9999999999995,2262.0,1.880466101081153,3.3246591106917394,9.714285714285714,2.4619554199448697,10.021405661311762,-0.24382594234872088,0.23936333027242007,14.0,4.0,9.5,2.5,0.0,0.0,136.0,1405.9999999999995,1406.0,1.8212816330609758,3.201523217183604,16.0,3.760699023168052,16.43602315473111,-1.7968935338736853,2.5858585858585856,19.0,5.0,17.0,3.5,0.0,0.0,224.0,3781.9999999999995,3782.0,1.7368565899734878,3.027533185389569,46.142857142857146,8.034364966079352,46.8371037289272,1.4963499006220111,1.4123419009854379,68.0,38.0,44.0,5.25,0.0,0.0,646.0,30712.000000000004,30712.0,1.580032477375621,2.5918602972349003,56.92857142857143,9.011613821811796,57.63741344449305,-1.2383281953750545,1.0224097299299402,68.0,33.0,59.0,10.25,0.0,0.0,797.0,46509.0,46509.0,1.5419057832932066,2.4772430393782088,-10.785714285714286,15.161881580503936,18.606834381868552,1.916043281721903,3.1432004343277455,35.0,-23.0,-17.0,13.5,0.21428571428571427,0.0,151.0,4847.0,4847.0,2.4851033359097583,5.764518731681343,46.57142857142857,9.700620640779977,47.57099956906519,1.3542338290609834,1.1090065382108687,71.0,34.0,44.5,6.75,0.0,0.0,652.0,31682.0,31682.0,1.7322554449066894,2.925770573256734
Brighton & Hove Albion FC,12,5,4,3,25,21,4,19,11.0,3.3166247903554,11.489125293076057,1.4253263561857916,0.39669421487603307,18.0,9.0,9.0,2.25,0.0,0.0,66.0,792.0,792.0,1.3020494039474582,1.1919098736351266,12.166666666666666,2.6718699236468995,12.45659129403653,-0.5980548524761271,-1.399233902102985,15.0,8.0,13.5,4.0,0.0,0.0,73.0,931.0,931.0,1.1126029076300976,0.9478587045834187,14.833333333333334,2.9107081994288304,15.116216457830975,0.4085160575301557,-0.6900725611394796,20.0,11.0,15.0,3.0,0.0,0.0,89.0,1371.0,1371.0,1.0218813476988167,0.8514707649881372,43.666666666666664,12.970050972229146,45.552167895721496,1.6068586958068307,0.884089318714457,72.0,34.0,39.5,5.5,0.0,0.0,262.0,12450.0,12450.0,1.3142548966054772,1.196719440802465,51.833333333333336,5.367080729368206,52.11045960265559,-0.12133924884611816,-1.108458584913643,60.0,44.0,53.5,6.25,0.0,0.0,311.0,16293.0,16293.0,0.6881018273948787,0.49812722698014195,-8.166666666666666,14.438567180375697,16.58814837969165,0.7501807067986384,-0.5140939395943454,19.0,-25.0,-10.5,15.75,0.16666666666666666,1.0,50.08991914547278,1651.0,1651.0,1.753692826255886,2.375011754404023,45.166666666666664,8.782874750836932,46.0126794119476,0.9632345935999372,-0.4839965201059311,62.0,36.0,41.0,8.25,0.0,0.0,271.0,12703.0,12703.0,1.0323183077658928,0.8598359924533271
West Ham United FC,12,5,2,5,21,22,-1,17,12.4,3.094080369565945,12.780193008453876,0.28520631272602925,-0.3922106439273443,19.0,7.0,12.0,4.0,0.0,0.0,186.0,2450.0,2450.0,1.9098358152567332,3.5295846283483945,9.6,2.0264912204760885,9.811557810392122,0.45565291082765874,-0.630207454882779,14.0,7.0,9.0,3.0,0.0,0.0,144.0,1444.0,1444.0,1.8254629595011176,3.2695654746638185,16.0,3.22490309931942,16.321764610482532,-0.8706284254819439,0.38757396449704107,20.0,8.0,16.0,4.0,0.0,0.0,240.0,3996.0,3996.0,1.6508839948427791,2.978461138401566,48.53333333333333,7.597075460699041,49.12433205652775,1.0163462020961171,-0.2753846866896823,65.0,40.0,47.0,8.0,0.0,0.0,728.0,36197.99999999999,36198.0,1.4514110982561998,2.511141411593004,55.666666666666664,7.930251502246879,56.22869967077904,0.4992585885637112,-1.1472998788847395,70.0,45.0,53.0,12.5,0.0,0.0,835.0,47425.0,47425.0,1.4164258800993725,2.387513023489495,-7.133333333333334,11.921222905203793,13.892443989449804,0.4575134447073566,-0.6129538085826063,15.0,-27.0,-8.0,12.0,0.26666666666666666,0.0,107.0,2894.9999999999995,2895.0,2.5355938798745985,6.355395949608212,46.8,8.968091584426794,47.65151274268915,0.46704045102916475,-0.5727945651485626,65.0,33.0,46.0,11.5,0.0,0.0,702.0,34060.0,34060.0,1.7017526293665184,3.0061947119917005
Chelsea FC,12,4,4,4,21,16,5,16,21.5,4.886205071423016,22.04824256034934,-0.5770064265697309,0.014171760642526454,30.0,11.0,21.0,5.25,0.0,0.0,344.0,7778.0,7778.0,1.8681389218772155,3.5927482532120614,8.5625,2.5487435630129602,8.933784192602818,-0.16323348283150974,0.1567135009106626,14.0,3.0,9.0,3.0,0.0,0.0,137.0,1277.0,1277.0,2.0345839686145393,4.117746721860555,7.9375,3.4181272284688293,8.642193008721803,0.5697469029199945,-0.16605148108987633,16.0,3.0,7.5,4.25,0.0,0.0,127.0,1195.0,1195.0,2.263803074212118,4.85445784277841,68.6875,13.265174094221305,69.95668302599832,0.3711372065806152,1.7916896104225009,103.0,38.0,68.5,10.75,0.0,0.0,1099.0,78303.0,78303.0,1.7271854370917603,3.2397983482422146,37.0,8.74642784226795,38.019731719200756,0.5402765884881652,-0.6411636550044855,54.0,24.0,34.5,8.75,0.0,0.0,592.0,23128.0,23128.0,1.9524920070237837,3.7650814161215473,31.6875,18.596769712775387,36.741495614631695,-0.1665329198702132,0.0973651119230583,71.0,-9.0,36.0,22.0,0.0625,0.0,507.0,21599.0,21599.0,2.336316026788615,5.3291428967089045,73.0625,12.85723896293446,74.18515687116931,-0.6460197108753721,-0.10176191738507612,93.0,44.0,73.0,16.75,0.0,0.0,1169.0,88055.0,88055.0,1.6752503063453235,3.079963677588459
